
2018-06-10 21:23:54.644030 # Conexión realizada exitosamente !!!
2018-06-10 21:23:54.644453 # Puerto en escucha: 6030

2018-06-10 21:23:56.694656 # Test de conexión - Dir: ('127.0.0.1', 45108)
2018-06-10 21:23:56.695089 # ('127.0.0.1', 45108) se ha desconectado
2018-06-10 21:24:01.431585 # ('127.0.0.1', 45110) se ha conectado.
2018-06-10 21:24:10.439601 # ('127.0.0.1', 45110) se ha desconectado
2018-06-10 22:26:48.709691 # Test de conexión - Dir: ('127.0.0.1', 46606)
2018-06-10 22:26:48.710041 # ('127.0.0.1', 46606) se ha desconectado
2018-06-10 22:26:51.940300 # ('127.0.0.1', 46608) se ha conectado.
2018-06-10 22:27:11.196771 # ('127.0.0.1', 46608) se ha desconectado
